,OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group
1648,3150,2021-03-20,2021-03-26,0.25,Unknown,47.5704769699248,-93.7446736390978,MNMNCC,Grass,US-MN,6.0,Group-1
1649,3151,2021-03-29,2021-04-17,7.0,Human,47.570476969924805,-93.7446736390978,MNMNCC,Grass,US-MN,19.0,Group-2
1650,3153,2021-04-03,2021-04-17,40.0,Human,47.5704769699248,-93.7446736390978,MNMNCC,Grass,US-MN,14.0,Group-1
1651,3154,2021-04-08,2021-04-22,14.0,Human,45.253783,-69.445469,NHNEC,Grass,US-ME,,
1652,3155,2021-04-12,2021-04-16,1.0,Human,36.86249,-92.93536,MOMOC,Timber,US-MO,4.0,Group-1
1653,3156,2021-04-09,2021-04-09,0.1,Human,45.253783,-69.445469,NHNEC,Timber,US-ME,0.0,Group-1
1654,3157,2021-04-14,2021-04-23,95.708732,Human,38.85838,-110.3744,UTMFC,Unknown,US-UT,9.0,Group-1
1655,3158,2021-04-18,2021-04-18,1.41,Human,48.38194,-114.1215,MTKIC,Grass,US-MT,0.0,Group-1
1656,3159,2021-04-18,2021-04-21,7.64,Human,48.21983,-114.0638,MTKIC,Unknown,US-MT,3.0,Group-1
1657,3160,2021-04-18,2021-04-26,67.9,Human,31.67132,-109.9773,AZTDC,Unknown,US-AZ,8.0,Group-1
1658,3161,2021-04-17,2021-05-03,1.1,Human,47.93278,-114.3288,MTKIC,Timber,US-MT,16.0,Group-2
1659,3162,2021-04-16,2021-04-20,0.2,Human,48.09544,-113.9819,MTKIC,Timber,US-MT,4.0,Group-1
1660,3164,2021-04-17,2021-05-05,4.0,Human,47.5704769699248,-93.74467363909781,MNMNCC,Timber,US-MN,18.0,Group-2
1661,3165,2021-03-23,2021-03-29,90.0,Human,34.866167,-83.298167,GAGIC,Timber,US-GA,6.0,Group-1
1662,3166,2021-04-10,2021-04-16,4.0,Human,33.88882,-111.815,AZPHC,Grass-Shrub,US-AZ,6.0,Group-1
1663,3167,2021-03-23,2021-03-27,1.0,Human,34.7722,-83.724617,GAGIC,Timber,US-GA,4.0,Group-1
1664,3168,2021-04-18,2021-04-19,1.1,Human,47.57047696992479,-93.74467363909781,MNMNCC,Grass-Shrub,US-MN,1.0,Group-1
1665,3169,2021-04-19,2021-05-19,0.1,Human,47.5704769699248,-93.74467363909781,MNMNCC,Brush,US-MN,30.0,Group-3
1666,3170,2021-03-14,2021-03-26,4.0,Human,47.57047696992478,-93.74467363909783,MNMNCC,Grass,US-MN,12.0,Group-1
1667,3172,2021-04-15,2021-04-21,0.12,Undetermined,47.19639,-119.9716,WACWC,Unknown,US-WA,6.0,Group-1
1668,3173,2021-04-18,2021-04-27,16.66,Undetermined,32.84024,-115.289,CASBCC,Grass-Shrub,US-CA,9.0,Group-1
1669,3174,2021-03-09,2021-03-12,0.54,Human,31.72524,-92.37658,LALIC,Unknown,US-LA,3.0,Group-1
1670,3175,2021-04-19,2021-05-05,3.82,Human,44.48356,-118.6026,ORJDCC,Unknown,US-OR,16.0,Group-2
1671,3176,2021-04-18,2021-05-02,4.0,Unknown,42.532,-121.2368,ORLFC,Unknown,US-OR,,
1672,3177,2021-04-18,2021-05-02,4.0,Undetermined,25.8959,-81.10091,FLFIC,Timber,US-FL,,
1673,3178,2021-04-13,2021-04-15,0.2,Human,40.84222,-122.3519,CARICC,Timber,US-CA,2.0,Group-1
1674,3180,2021-04-04,2021-04-10,1.0,Human,36.64715,-92.66883,MOMOC,Grass,US-MO,6.0,Group-1
1675,3181,2020-08-27,2020-10-15,0.3,Natural,46.47079,-115.0721,IDGVC,Timber,US-ID,49.0,Group-4
1676,3182,2021-04-20,2021-05-12,0.25,Undetermined,47.57047696992479,-93.74467363909783,MNMNCC,Grass,US-MN,22.0,Group-2
1677,3183,2021-04-20,2021-04-26,34.31392993,Human,43.28705,-112.24719,IDEIC,Unknown,US-ID,6.0,Group-1
1678,3184,2020-11-03,2020-11-19,4.0,Human,44.40944,-112.9418,IDEIC,Grass-Shrub,US-ID,16.0,Group-2
1679,3185,2021-04-18,2021-05-20,1.0,Unknown,46.247918,-91.088897,WIWIC,Grass,US-WI,32.0,Group-3
1680,3186,2021-04-17,2021-04-18,4.0,Unknown,46.2037,-91.1099,WIWIC,Unknown,US-WI,1.0,Group-1
1681,3187,2021-04-17,2021-05-01,1.293686481,Human,36.16102,-115.9232,NVLIC,Unknown,US-NV,,
1682,3188,2021-04-17,2021-04-28,27.8767265,Human,40.98688,-117.4714,NVCNC,Brush,US-NV,11.0,Group-1
1683,3189,2021-04-13,2021-04-23,0.17075677,Human,40.9838,-117.3858,NVCNC,Grass-Shrub,US-NV,10.0,Group-1
1684,3190,2021-04-19,2021-04-29,10.81911592,Human,41.9387,-117.7997,NVCNC,Brush,US-NV,10.0,Group-1
1685,3191,2021-04-20,2021-05-04,1.0,Human,35.92634,-93.45912,ARAOC,Timber,US-AR,,
1686,3192,2021-04-20,2021-04-22,105.7379533,Unknown,42.54479,-111.4366,IDEIC,Unknown,US-ID,2.0,Group-1
1687,3193,2021-04-20,2021-04-25,0.33,Human,47.57047696992478,-93.74467363909783,MNMNCC,Grass,US-MN,5.0,Group-1
1688,3194,2021-04-16,2021-04-19,0.01,Human,46.540785502645534,-108.37487790476182,MTRBAC,Grass,US-MT,3.0,Group-1
1689,3195,2021-04-16,2021-04-21,0.3,Human,48.24756,-114.1436,MTKIC,Grass-Shrub,US-MT,5.0,Group-1
1690,3196,2021-04-20,2021-04-28,17.84,Undetermined,48.24748,-114.144,MTKIC,Grass,US-MT,8.0,Group-1
1691,3197,2021-04-20,2021-04-29,4.52,Human,35.914694,-81.878333,NCNCC,Timber,US-NC,9.0,Group-1
1692,3198,2021-04-21,2021-04-23,2.07,Unknown,31.068611,-92.674444,LALIC,Unknown,US-LA,2.0,Group-1
1693,3199,2021-04-17,2021-04-18,1.0,Unknown,46.120617,-91.038717,WIWIC,Unknown,US-WI,1.0,Group-1
1694,3200,2020-09-06,2020-10-20,37.673298,Natural,45.538283,-115.597633,IDGVC,Timber,US-ID,44.0,Group-3
1695,3201,2021-04-19,2021-05-12,15.92,Human,44.26827,-120.435,ORCOC,Unknown,US-OR,23.0,Group-2
1696,3202,2021-04-03,2021-04-17,2000.0,Human,47.43838189999999,-102.98411844999998,NDNDC,Unknown,US-ND,,
1697,3204,2021-04-10,2021-04-21,92.73989385,Human,42.2019,-111.2066,IDEIC,Unknown,US-ID,11.0,Group-1
1698,3205,2021-04-21,2021-04-21,0.1,Human,32.98149,-112.0945,AZTDC,Unknown,US-AZ,0.0,Group-1
1699,3206,2021-03-20,2021-03-21,25.0,Human,47.57047696992478,-93.74467363909784,MNMNCC,Grass,US-MN,1.0,Group-1
