,humidity,windspeed,pressure,temp,conditions
20774,72.63,4.7,1012.8,77.6,3.0
18712,42.14,17.4,1017.0,64.8,5.0
3760,30.95,17.1,1016.2,68.6,1.0
10568,57.7,13.2,1019.3,60.1,1.0
5220,42.46,20.9,1013.5,61.4,1.0
15234,60.73,11.4,1018.8,46.9,2.0
192,10.28,7.2,1011.4,77.6,1.0
14867,48.43,17.6,1012.5,54.3,2.0
6074,34.05,12.8,1012.1,74.8,1.0
3617,36.73,17.8,1013.2,64.6,1.0
12358,50.64,10.1,1010.7,74.2,1.0
15933,60.2,11.7,1017.5,68.3,2.0
5309,37.7,14.7,1024.8,56.3,3.0
17046,60.32,19.0,1011.8,87.1,1.0
19028,74.13,15.6,1011.0,36.7,1.0
1336,64.13,17.1,1016.9,43.3,3.0
1153,43.55,17.2,1016.4,51.6,3.0
19245,82.84,17.4,1010.3,62.1,2.0
4928,75.28,11.3,1015.6,84.4,3.0
15967,68.22,10.1,1018.1,52.6,2.0
530,94.76,17.7,1011.3,55.2,2.0
15289,66.12,13.5,1015.5,67.4,1.0
5195,24.01,12.1,1022.4,48.3,1.0
11907,79.93,12.1,1013.4,86.0,1.0
8138,60.53,10.5,1012.6,66.5,1.0
7991,63.19,17.8,1012.8,59.6,2.0
18096,53.45,14.1,1015.1283048687221,79.0,1.0
16442,72.59,8.5,1020.6,63.4,3.0
10850,60.08,13.0,1023.8,46.8,3.0
14456,76.19,14.7,1015.1283048687221,73.3,3.0
2963,65.71,11.8,1015.1283048687221,41.2,3.0
16884,59.32,17.0,1012.2,41.5,5.0
4442,54.9,6.1,1029.3,35.3,1.0
12634,85.2,9.3,1014.1,63.6,2.0
15661,83.58,9.6,1015.1283048687221,70.7,2.0
10189,73.68,20.2,1009.8,71.4,3.0
2910,18.31,15.0,1018.8,81.8,1.0
16927,82.73,13.7,1013.8,54.5,2.0
6668,37.67,8.6,1012.2,73.9,1.0
13941,73.67,11.3,1015.4,59.4,3.0
15982,35.6,13.7,1009.7,80.5,1.0
12323,66.5,22.1,1013.0,38.0,3.0
13358,85.17,16.1,1004.5,47.7,2.0
3790,62.68,4.0,978.8,40.0,1.0
3632,60.09,20.3,1016.3,63.6,5.0
1034,25.79,18.9,1016.3,59.5,1.0
10634,66.44,5.2,1013.9,80.7,3.0
14880,51.84,16.9,1009.4,81.3,1.0
8505,73.28,6.2,1016.1,72.8,3.0
1518,45.85,13.2,1006.9,54.9,1.0
12182,81.78,10.2,1013.2,79.1,2.0
9189,77.46,10.4,1015.1283048687221,70.9,5.0
19129,64.61,10.0,1021.5,43.1,1.0
6589,36.61,20.9,1010.0,79.6,1.0
11319,48.23,15.6,1009.9,64.1,1.0
8347,84.58,11.4,1013.3,54.7,2.0
6304,56.03,21.3,1011.0,54.2,3.0
4329,87.39,18.6,1011.9,60.3,2.0
17134,65.73,14.5,1019.5,66.2,1.0
13772,71.88,17.1,1011.6,81.1,1.0
19100,77.5,18.3,1001.3,70.3,2.0
9431,53.56,14.4,1012.3,70.9,3.0
18564,13.12,19.3,1010.9,76.3,1.0
11285,33.92,20.4,1010.8,72.1,2.0
19597,82.15,6.4,1018.1,74.1,1.0
8620,58.19,20.0,1010.6,52.1,2.0
20088,90.84,10.9,1015.1,59.5,5.0
16611,39.01,23.0,1012.2,50.5,1.0
932,11.12,6.9,1011.0,76.9,1.0
13685,51.52,8.6,1014.0,54.2,3.0
14957,47.45,21.2,1013.1,69.3,1.0
21199,62.26,16.9,1033.8,34.7,3.0
2940,43.64,19.6,1010.1,73.8,5.0
7021,64.14,24.0,1014.1,69.8,5.0
372,73.22,11.8,1013.2,64.3,3.0
16248,98.08,7.2,1020.3,55.4,2.0
10730,81.94,12.7,1012.4,76.0,2.0
17678,54.72,13.9,1009.3,33.5,7.0
118,31.11,16.1,1012.9,75.7,1.0
1736,53.16,13.4,1018.5,43.1,2.0
16854,61.8,15.7,1010.4,69.5,3.0
16929,84.42,15.0,1004.2,55.2,2.0
14647,38.3,6.9,1023.1,55.7,1.0
12924,82.7,5.9,1027.6,34.1,2.0
2299,72.74,16.5,1035.8,30.2,1.0
7837,91.37,15.0,1019.0,39.0,5.0
7414,78.41,17.7,1009.1,84.4,3.0
6338,37.95,15.1,1013.6,88.5,1.0
16794,64.96,21.8,1019.6,45.3,2.0
17251,77.68,10.0,1017.7,75.7,2.0
10159,75.95,18.3,1010.9,38.8,2.0
2087,62.28042364342921,13.929934840935072,1015.1283048687221,61.882653061224794,2.263150330554757
